id,text,label
t2847,这款新款奥迪比凯美瑞还便宜，撩妹的专属座驾，比凯美瑞成功率高,汽车
t655,券商、交易所携手“捉妖” 涉及频繁异常交易等将被重点监控,股票
t1411,导弹飞袭叙利亚,国际
t8651,现在应该买房还是卖房？,房产
t5076,一县一品公益助农！游火石寨吃九碗十三花宁夏西吉特色农产品西芹,农业
t553,杨洋最新帅气写真高清图集,娱乐
t4345,今年的房产税讲座好比及时雨,房产
t4523,天气越来越热，老公车里却从不开空调！支你一招，比开空调还凉爽,汽车
t9899,5.8黄金反弹受阻下行，晚间原油白银恒指分析策略！,财经
t6876,打飞机对身体都有哪些变化,文化
t8188,不甘于平庸，大山刁民的逆袭之路……,故事
t2088,房价还可能降回2010年前的水平吗？,房产
t550,全面落实《指南》精神 打造游戏学习型区域,教育
t9416,阿P入井（幽默故事）,故事
t9837,河南灵宝：健康扶贫出实招 困难群众得实惠,农业
t3528,怎样看股票里有没有庄？,股票
t3236,终于被途观L逼急了！日产新车比汉兰达霸气，2.5L配四驱,汽车
t5085,五月农村法治宣传教育月活动在苗市镇启动,农业
t2718,违法酒“清宫御酒”为啥能流入市场？,财经
t3952,遭遇俄军战机越界开不开火？比起土耳其，以色列显然更加“知趣”,国际
t8826,SMT车间先进的物流自动化设备激光AGV,科技
t6126,从哪些方面可以看出一个老师是好老师？,教育
t3683,为什么日本动画男主角经常由女声优配音？,娱乐
t4080,"未来Ai如果为它设定性别，您希望它是性别?"",是男性、女性还是第三种性别？",电竞
t4971,最令你感到振奋的一句(段)话是什么？,军事
t3593,背包秒变躺椅葛优瘫 外国人的脑洞不得不服,旅游
t8968,这车回老家特别有面子，别人都以为我在外头做大老板呢,汽车
t6705,何洁带儿子现身机场 此前被传带儿子出来炒作 你怎么看？,娱乐
