id,text,label
climate195,"While we seek to partner with organizations that mitigate their business risks associated with climate change, we recognize that there are inherent risks wherever business is conducted. Access to clean water and reliable energy in the communities where we conduct our business, whether for our offices or for our vendors, is a priority. Our major sites in California, Utah and India are vulnerable to prolonged droughts due to climate change. In the event of a natural disaster that disrupts business due to limited access to these resources, we have the potential to experience losses to our business, and added costs to resume operations. To accurately assess and take potential proactive action as appropriate, Adobe is aligned with the guidelines of the Financial Stability Board’s (“FSB”) Task Force on Climate-related Financial Disclosures (“TCFD”) recommendations.",风险
climate81,"Climate change is a challenge faced by the entire P&C insurance industry. In particular, our property insurance business has been affected due to changing climate patterns and an increase in the number and cost of claims associated with severe storms and other natural disasters. Water damages now make up more than half of our home insurance claims.",风险
climate120,"We anticipate that the potential effects of climate change may impact the decisions and analysis the employees in our Real Estate businesses make with respect to the properties they evaluate or manage on behalf of clients since climate change considerations may impact the relative desirability of locations and the cost of operating and insuring the properties. Future legislation that requires specific performance levels for building operations could make non-compliant buildings more expensive, which could materially adversely affect investments in properties we have made on behalf of clients.",风险
climate14,"In practice, the short-term nature of the business, the ability to re-price annually and the risk mitigation provided by reinsurance arrangements are likely to limit the impact on general insurance liabilities. However, over time the increased physical effects of climate change are likely to result in more risks and perils becoming either uninsurable or unaffordable.",风险
climate233,"Climate Change WHAT THIS MEANS? The Government’s latest climate change risk assessment identifies flood risk, and particularly flooding from heavy downpours, as one of the key climate threats for the UK. This must be viewed alongside stresses on water resources, threats to biodiversity and natural habitats, and the repercussions for the UK from climate change impacts abroad.",风险
climate65,"The performance of the units, used to measure the amount to be paid as variable compensation, is measured by a corporate tool called the Work Agreement (Acordo de Trabalho - ATB). This evaluation model, based on the goals proposed at the Corporate Strategy, allows for a balance between short and long-term visions. The ATB indicators relate to several topics, including commercial and financial performance, customer satisfaction and experience, operational efficiency, risk management, human management, and corporate socioenvironmental (E&S) responsibility. |102-28| |102-35|103-3|Sustainability Culture|",中性
climate276,"Earnings attributable to equity owners of the Company includes timing adjustments related to rate-regulated activities and unrealized gains or losses on mark-to-market forward and swap commodity contracts. They also include one-time gains and losses, significant impairments, restructuring charges and other items that are not in the normal course of business or a result of day-to-day operations recorded at various times over the past eight quarters. These items are excluded from adjusted earnings and are highlighted below: • In the second, third and fourth quarters of 2019, Canadian Utilities closed a series of transactions related to the sale of its Canadian fossil fuel-based electricity generation business and Alberta PowerLine resulting in a gain on sale of operations of $125 million after-tax. As these transactions are one-time in nature, they are excluded from adjusted earnings. • In the second quarter of 2020, impairment and other costs not in the normal course of business of $30 million after-tax were recorded. These costs mainly relate to certain assets that no longer represent strategic value to the Company. As these costs are one-time in nature, they are excluded from adjusted earnings. • In the fourth quarter of 2020 the Company signed a Master Services Agreement with IBM Canada Ltd. (IBM) to provide managed information technology services. These services are currently provided by Wipro under a ten-year MSA maturing in December 2024. The Company has recognized costs of $55 million after-tax, which represents management’s best estimate of the costs to exit the Wipro MSA. The actual costs are expected to be finalized later in 2021. As these costs are one-time in nature, they are excluded from adjusted earnings.",中性
climate26,"Strains on the natural environment are intensifying with the impacts of climate change and water scarcity increasingly visible. Momentum is gathering globally to tackle climate change following the Paris Agreement, which came into force in 2016, aiming to limit temperature rise this century to below 2 degrees Celsius above pre-industrial levels. Concerns about the planet and society are matched by concerns about our own health. Obesity kills more people than hunger, while many populations struggle to find sufficient nourishment in their diets, presenting opportunities to meet these growing consumer needs.",中性
climate53,"The diagnosis of organizational culture represents the internal scenario and it is one of the elements considered/ analyzed in the definition of the drivers. Since 2017, after reviewing the research strategy by our organizational behavior area, only the Organizational Climate and Engagement Survey was applied annually, as presented in the table below.",中性
climate12,"Moreover, we continue to enhance the durability, safety, quality and performance of its products to ensure that consumers can comfortably enjoy them over an extended period, as well as design and develop various accessories, and pursue cost-cutting and energy conservation initiatives.",机遇
climate168,"The data required for emissions calculation is currently not available for the following: z Scope 1 and scope 3 as they relate to offices outside of South Africa and where there is a lack of reliable data. Emissions associated with the operation and servicing of ATMs, self-service terminals and point-of-sale devices located away from a branch or office premises, and other remote devices. Any other premises or activities owned or operated by us, but not explicitly referenced in this report, such as Nedbank kiosks in retail stores.",中性
climate230,"In addition to reporting progress vs. these goals, P&G also publishes the following data on an annual basis in our Citizenship Report (available at www.pg.com): Energy consumption (gigajoules), Scope 1 GHG emissions (metric tons), Scope 2 GHG emissions (metric tons), and estimates of relevant Scope 3 GHG emission categories (metric tons). We have had 3rd party assurance of our GHG emissions inventory for Fiscal Years 17/18, 18/19 and intend to maintain that practice going forward.",中性
climate20,"Extreme weather events represent a potential risk. Loss or impairment of key manufacturing sites, inability to procure sufficient raw materials, disruption to transportation of raw materials or finished goods, etc. could disrupt our operations if they are not effectively managed and remedied. We have over 100 sites globally and a broad supplier network. This provides some level of flexibility to adjust production and sourcing. In addition, each site has a business continuity plan, which is regularly reviewed and updated. These plans include considerations for disruptions caused by extreme weather events.",风险
climate265,"LG Chem is creating new business opportunities and contributing to the circular economy through plastic waste and battery waste recycling. In addition, we are pushing for environmental protection and eco-friendly management by minimizing waste.",机遇
climate104,"Our Socioenvironmental Responsibility Policy (PRSA) guides the behavior related to the topic, considering actions with companies, governments and society in initiatives dedicated to reducing risks and taking advantage of opportunities related to environmental and social issues, including climate change, in addition to involving aspects related to the promotion of Human Rights and fundamental principles of work, the universalization of social rights and respect for diversity in business relationships.",中性
climate186,"Climate-related risks and opportunities can be found in the respec- tive categories of the risk and opportunity report according to their cause. Examples include risks from legal and political framework conditions to reduce emissions and consumption levels, or risks and opportunities from shareholdings and cooperations for mobility solutions or electric mobility.",中性
climate113,"In producing this report, we have been guided by best practices in general sustainability reporting as well as those targeted specifically to the oil and gas industry. Among the guidelines that we have referred to are Bursa Malaysia’s Sustainability Framework, FTSE4Good Bursa Malaysia Index’s Environmental, Social and Governance (ESG) indicators, International Petroleum Industry Environmental Conservation Association’s (IPIECA) Oil and Gas Industry Guidance on Voluntary Sustainability Reporting, the Global Reporting Initiative (GRI) and Dow Jones Sustainability Index (DJSI).",中性
climate253,"We believe our goals demonstrate to our stakeholders that we are committed to reducing our environmental impact, while also reducing our exposure to a carbon price. Our commit- ment to carbon neutrality by 2035 involves a combination of approaches, including reducing our emissions, migrating energy procurement in favor of renewable and clean energy, and purchasing carbon offsets. By doing so, we are finding ways to reduce the potential effect of future carbon prices on our business. We will continue to measure and disclose our perfor- mance against our goals.",风险
climate23,"REDUCING ENERGY CONSUMPTION A number of energy-efficiency projects have been implemented such as lighting control and heating, ventilation, and air conditioning (HVAC) upgrades. These projects help reduce energy costs and our greenhouse-gas footprint.",机遇
climate90,"Indicator 3: Raise R$ 1,499 million in the year 2023 in Project Finance and/or Structured Operations for renewable energy and/or operations intended for players in the renewable energy segment for investment in their activities by December 31, 2023.",机遇
climate256,"Reducing investment in coal… For example, we limit our engagement in the coal sector. Coal­fired power plants are no longer financed in some countries and in the others, they are subject to restrictions aimed at reducing emissions and overall a strategy to reduce coal dependency. Also, capital raising and lending to the coal mining sector is severely restricted and mountaintop removal operations are not supported at all.",中性
climate37,"By reducing energy consumption and GHG emissions, we are not only doing our part to help reduce GHG emissions to the atmosphere but are also helping to mitigate potential impacts from policy or regulatory actions that could put an increased price on carbon emissions. The actions we are taking include:",中性
climate74,"In October 2020, we approved our sustainable finance model, which provides for parameters and management for raising funds for projects classified as sustainable in the global market. This type of funding can be used to finance projects able to offer financial, environmental, social and governance (ESG) benefits.",机遇
climate70,"Category A: projects that require preparation of an Environmental Impact Study (EIA) and with potential for significant adverse socioenvironmental risks or impacts that are multiple, irreversible or unprecedented, with emphasis on those related to at least one of the following topics: indigenous peoples, critical habitats, cultural heritage or large- scale resettlement.",风险
climate226,"Eni’s activities in the Refining & Marketing business entail health, safety and environmental risks related to the handling, transformation and distribution of oil and oil products. These risks arise from the inherent characteristics of hydrocarbons, in particular flammability and toxicity. Also environmental risks are involved in the use of oil products, such as GHG emissions, soil and groundwater contamination.",风险
climate84,"New products include our $1 per day electric vehicle charging offer, which will be available in November 2016, and the AGL Future Forests program which enables residential customers to offset carbon emissions based on their electricity consumption for $1 per week. This funds the purchase of native Australian forestry carbon credits to offset those emissions and also supports biodiversity conservation and the planting of Australian native trees.",机遇
climate39,• Customers’ changing preference for environmental friendly product • Shareholders' inclination to invest in companies with sustainable commitment • Reallocation of capitals to cleaner and greener investments by financial institutions. • Significant investment into technologies and infrastructure to address climate change and to look beyond own operations • Increase in operational costs to meet regulatory requirements for GHG emissions and climate change,风险
climate292,"In addition to capital investments in the Regulated Utilities, Canadian Utilities intends to invest in long-term contracted capital for a fifth hydrocarbon storage cavern and additional industrial water facilities in northern Alberta, as well as a 9-MW merchant solar generation project in Chile and various business development opportunities with long-term potential.",机遇
climate282,"The Company continues to carefully manage physical risks, including preparing for, and responding to, extreme weather events through activities such as proactive route selection, asset hardening, regular maintenance, and insurance. The Company follows regulated engineering codes, continues to evaluate ways to create greater system reliability and resiliency and, where appropriate, submits regulatory applications for capital expenditures aimed at creating greater system reliability and resiliency within the code.",风险
climate61,"We targeted a £500 million annual investment in low-carbon infrastructure from 2015-2020, and an associated carbon saving target of 100,000 CO2 tonnes annually. In 2016 we signed £450 million of new investment into wind, solar, biomass and energy efficiency, and our Infrastructure Income Fund will deliver over 150,000 tonnes of CO2e savings annually when the projects are operational. Aviva holds over £247 million in green bonds.",机遇
climate263,"Stakeholder dialogue and transparency ⌐ Engaging openly with stakeholders and establishing ways to increase transparency and disclosure has long been central to our approach. Our stakeholders are those people or organizations who affect or are affected by our operations, including our employees, consumers, suppliers and their workers, customers, investors, media, governments, and NGOs. The adidas Stakeholder Relations Guideline specifies key principles for the development of stakeholder relations and details the different forms of stakeholder engagement. adidas participates in a variety of industry associations, multi-stakeholder organizations, and non-profit initiatives. Through these memberships, we work closely with leading companies from different sectors to develop sustainable business approaches and to debate social and environmental topics on a global and local level. We use collaborations and partnerships to build leverage for systemic change in our industry, such as for strengthening chemical management practices and raising standards in the cotton supply chain. In addition, we build awareness, capacity, and knowledge of laws and rights among factory management and workers by partnering with leading providers such as the International Labour Organization’s (ILO) Better Factories Cambodia program, as well as with the United Nation’s International Organization for Migration with the objective to ensure that the labor rights of foreign and migrant workers are upheld in the adidas supply chain. ► ADIDAS-GROUP.COM/S/PARTNERSHIPS https://www.adidas-group.com/en/sustainability/managing-sustainability/partnership-approach/",中性
climate6,"The Group and its customers are exposed to climate related events, including climate change. These events include severe storms, drought, fires, cyclones, hurricanes, floods and rising sea levels. The Group and its customers may also be exposed to other events such as geological events (including volcanic seismic activity or tsunamis), plant, animal and human diseases or a pandemic.",风险
climate159,"Innovation and Digital Two enablers will set us up for success. The first is applying a mindset of deep and broad innovation across all dimensions of our business. The second is using the speed and agility of Digital throughout our entire value chain. These enablers will be particularly powerful when it comes to executing on the three strategic focus areas – Credibility, Experience, and Sustainability – that support us in intensifying our focus on the consumer and driving growth.",机遇
climate261,Energy Infrastructure revenues of $195 million in the full year of 2020 were $661 million lower than the same period in 2019 mainly due to the sale of the Canadian fossil fuel-based electricity generation business and Alberta PowerLine in 2019.,中性
climate46,*2 GHG: Greenhouse Gases Emissions from the use of electricity were recalculated to include past years using the coefficients for the fiscal years prior to the tabulated fiscal years. (Details are listed on page 21.) .,中性
climate259,C u s t o m e r s ’ p r e f e r e n c e f o r environmental friendly product. Shareholders’ inclination to invest in compan ies w i th sus ta inab le commitment. Reallocation of capitals to cleaner and greener investments by financial institutions. Significant investment into technologies and infrastructure to address climate change and to look beyond own operations. Increase in operational costs to meet regulatory requirements for GHG emissions and climate change,中性
climate196,"For us, the Paris Agreement represents more than just an obliga- tion, as our commitment to its targets stems from our fundamental convictions. We therefore believe that it is our mission to develop technical innovations that will lead to CO2-neutral mobility around the world.",机遇
climate130,"In addition to the specific risks insured, the Group is exposed to losses that could arise from natural and man-made catastrophes. The main concentrations of risks arising from such potential catastrophes are regularly reported to executive management. The most important peril regions and natural catastrophes are U.S. and Caribbean tropical cyclone, Europe windstorm and California earthquake.",风险
climate54,"Our aim in 2021 is to be able to report the weighted average carbon intensity of our corporate bonds portfolio. Furthermore, in order to improve monitoring, management and future reporting in this area, we are working towards an improved picture of the emissions intensity of other significant portions of our investment portfolio, where appropriate data and methodologies exist.",中性
climate309,"Australian and foreign laws regulate environmental obligations and waste discharge quotas. Government agency audits and site inspections monitor CSL environmental performance. The EHS2 function continues to refine standards, processes, and data collection systems so CSL is ready to meet the new regulatory requirements.",中性
climate19,"With regard to its carbon footprint, the Group calculates its direct emissions (Scope 1), indirect emissions from energy consumption (Scope 2) and other indirect emissions due to company activities that are not under its direct control (Scope 3). In 2019, Atlantia Group produced approx. 355 thousand tonnes of carbon dioxide equivalent (Scope 1 + Scope 2), mainly due to emissions deriving from the production of electrical energy consumed (46%) and emissions linked to the consumption of fuel for transport (21%) and for cogeneration (20%). The remaining emissions are emissions due to consumption for heating and to supply systems and emergency gensets.",中性
climate184,"[Decarbonized Society] We aim to achieve a decarbonized society through energy-saving activities including upgrading to energy-efficient equipment, the adoption of renewable energy and upgrading to next-generation energy. We will also pursue the development of products and services which will contribute to the creation of a decarbonized society.",机遇
climate302,"We disseminate the importance of incorporating the sustainability principles in the planning and execution of actions to the entire value chain. Aiming to generate value for stakeholders and minimize any negative impacts, we have leaders committed to the challenge of reconciling business competitiveness with the construction of a more just and inclusive society.",中性
climate139,"We have, additionally, embarked on the New Plastics Economy (NPE), which will further contribute to reduced GHG emissions as the production of virgin-quality recycled plastic and the conversion of non-recyclable plastic into energy are less energy intensive than the manufacture of new plastic, and the creation of energy from conventional sources.",机遇
climate257,"Rising public concern related to climate change has led and could lead to the adoption of worldwide laws and regulations which could result in a decrease of demand for hydrocarbons and increased compliance costs for the Company. Eni is also exposed to risks of technological breakthrough in the energy field and risks of extreme meteorological events linked to the climate change. All these developments may adversely affect the Group’s profitability, businesses outlook and reputation Growing worldwide public concern over greenhouse gas (GHG) emissions and climate change, as well as increasingly regulations in this area, could adversely affect the Group’s businesses and reputation, increase its operating costs and reduce its profitability and shareholders returns. Those risks may emerge in the short and medium-term, as well as over the long-term.",风险
climate41,"Governance Links: The CEO and Chairman of the Board sits on the SLC and can bring relevant climate-related items to the Company’s Board of Directors and its Governance & Public Responsibility Committee, which has oversight of many of the Company’s Corporate Citizenship efforts, including climate.",中性
climate272,"CEO Our CEO and Newton board member, Hanneke Smits, believes that the integration of ESG matters into our investment process is crucial to our, and by extension, our clients’ success, and speaks publicly on the topic.",机遇
climate128,"Liability risk associated with climate change a.s.r.’s P&C portfolio is largely made up of retail customers and SMEs. National and provincial government, authorities and energy companies, do not mesh with the a.s.r. P&C risk appetite. The underwriting of municipal liability within the Large Corporates team poses a potential risk. At present, the P&C business provides cover to 15 municipalities.",风险
climate166,Training The board is receiving ongoing training to ensure their skills and knowledge are enhanced with respect to climate change. In 2020 a total of 559 employees were trained on ‘What the Covid-19 pandemic can teach us about climate change’ and ‘How climate risk affects Nedbank?' through the Nedbank Risk Business School. Various informal training sessions were also conducted. Fit-for purpose training will continue across the enterprise to ensure climate change is integrated into the various functions. This includes e-learnings for all Nedbank employees.,中性
climate216,"Sustainability aspects and climate-related risks and opportunities are integrated into the Group-wide risk management process at Daimler. They are understood to be conditions, events, or develop- ments involving environmental, social or governance factors (ESG), the occurrence of which may have an actual or potential impact on the Daimler Group’s profitability, cash flows and financial position, as well as on its reputation. ESG-related risks and opportunities that are very likely to have a serious negative impact on non-financial aspects in accordance with the CSR Directive Implementation Act (CSR-RUG) can be found in the respective categories of the Risk and Opportunity Report according to their cause. Furthermore, Daimler follows the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD) with regard to climate-related risks and opportunities.",风险
climate63,"Inherent risk profile The inherent risk profile identifies Nedbank’s inherent risk before controls are implemented for the effective management of climate-related risks. The inherent risk profile is determined based on the following categories: • GHG emission industries – Various industries pose a higher inherent risk depending on the nature of the specific GHG emissions. Inherent risk increases as the GHG emissions increase. • External threats – These include changing weather patterns, client behaviour and preferences, new technology and innovation, legislation, and risks. Nedbank may be exposed to due to activities of lending, investing, and the group’s own operations.",风险
climate187,"2019 also saw the continuation of activities regarding lighting, with widespread use of LED technology, both in motorway tunnels and airports, as well as in buildings, which reduced electrical energy consumption by around 5.4 GWh. As regards air conditioning, modernisation of the systems continued, with more efficient machinery, such as refrigeration units, significant results have been obtained with monitoring and diagnostic platforms that have reduced waste, for a total saving of 3.7 Gwh of electricity.",机遇
climate318,"In 2020, Banco do Brasil Foundation celebrated its 35th anniversary. Along its journey, it has contributed to the societal transformation of Brazilians and the sustainable development of the country, focused on serving the society’s most vulnerable segments, from north to south, from east to west, in cities and the countryside.",机遇
climate107,"In addition to the structure to the right, P&G maintains an Enterprise Risk Management (ERM) process to identify and assess risk factors via a multi-functional team of experienced resources. Findings and recommendations made through the ERM process are reviewed with senior managers, in addition to the Company’s Board of Directors and its Audit Committee, which has oversight responsibilities. Through the process, Company leaders assess significant factors that may adversely affect our business, operations, financial position or future financial performance and includes an assessment of environmental sustainability risk factors. The Vice President of Sustainability and the Chief Sustainability Officer participate in the ERM process to provide perspective on relevant sustainability topics, including climate change.",风险
climate202,"Sustainable and responsible investing A dedicated Sustainable Finance Solutions division was established within CIB and serves to integrate sustainable values within mainstream financing, assist the structuring and development of new products linked to sustainability, and partner with our clients to identify sustainable solutions that would support the transition and provide value add to our clients.",机遇
climate52,"(3) In addition to confirmation of compliance, we confirm the status of continuous improvements and corrections being made towards the achievement of the environmental targets. When necessary, we require audited sites to review plans.",中性
climate77,"– we rank among the world’s leading offshore wind companies – is an expression of this conviction. We intend to continue growing in onshore and offshore wind and do so through partnerships where appropriate. We plan to invest between €1.5 billion and €1.7 billion in the Renewables division from 2017 to 2019. All capital expenditures must satisfy clearly defined requirements in terms of profitability. Among our largest wind energy operations are the Nordsee One and Galloper projects, which are scheduled for commissioning at the end of",机遇
climate150,This is primarily achieved through: • Tailoring cash-flow forecasts by internalising a cost of carbon during the valuation process • Understanding the carbon footprint and carbon intensity of each portfolio • Analysing the portfolio’s exposure to stranded assets.,风险
climate131,"Strategy Disclose the actual and potential impacts of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning where such information is material. a) Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.",中性
climate185,"The financial performance information in this report is derived from our Financial Statements that are in accordance with US GAAP. The reporting basis for the information in this report on our performance in the area of corporate responsibility is prepared in accordance with the GRI Sustainability Reporting Standards and is presented in accordance with the ‘core’ option. Details of our compliance with the GRI standards (GRI content index) can be found in a separate Reporting Supplement available on the Website. We have also included disclosures required as part of the EU Directive on disclosure of non-financial information and diversity information, which was implemented in 2017 and is decreed as part of the Dutch Civil Code.",中性
climate275,"AGL is proud to be developing the world’s largest virtual power plant in South Australia. This $20 million project involves the deployment of 1,000 connected batteries to homes and businesses with solar photovoltaic systems in the Adelaide region. This virtual power plant will act as the equivalent of a 5 MW solar peaking plant, improving network stability, supporting renewable generation and ultimately reducing energy bills for customers.",机遇
climate135,"Access to financing: We continued to deliver innovative financing solutions for areas including renewable energy, water and low carbon technologies; social infrastructure; development institutions; and small business financing. Barclays delivered £21.1bn in financing for selected social and environmental segments across our business lines. This included a range of green bond transactions for corporate, supranational and municipal clients as well as lending facilities for renewable energy projects. For further information, please see our Environmental, Social, Governance (ESG) Supplement 2016 available at home.barclays/annualreport",机遇
climate5,"Ecoefficiency Eco-efficiency management provides a reduction in the consumption of natural resources, such as water and energy, thus minimizing the environmental impact, in addition to the expenses with the acquisition of said inputs. With the same goal, GHG emissions and consumption of materials were rationalized, such as: paper, toner and fuel, reducing the generation of solid waste.",中性
