text,label
冠福的供货商阿米瑞斯去年翻了五倍，今年其清洁护肤品将进入中国。帝斯曼在不断加大中国的投资,积极
天风证券：美格智能（002881.SZ）快速成长的物联网中军，维持“增持”评级,积极
正宗白酒股啊，兄弟们！！！国坛白酒，由董事长投资，力争2022年上市的名营上市白酒第一家公司！！！！！,积极
下周还有博鳌会议满满的热点这个月抄海南股就行了,积极
卖飞了，痛定思痛决定明天追回来，我相信有一天韦尔股份市值会超过中芯国际成为半导体板块市值第一,积极
这主力是真不在乎手续费,中性
买好车票，坐悬浮列车看风景去,积极
淡定，昨天美股黄金股都是涨的，巴里克黄金$紫金矿业(SH601899)$$山东黄金(SH600547)$,积极
把买菜钱省下来继续加仓。,积极
挂10.1没到，可惜了，先出一半，这两天全是小单净流入,消极
以前的三七逻辑是游戏板块龙头。现在已经不是了,中性
又在搞故意吸引眼球！三大指数大跌，中科小幅红盘，真正当大盘大涨时，中科比蜗牛还慢！。。。跌的时候，肯定跑在前面！,消极
我来了，此股已经到了值得投资的位置，看好图形，开始买入，不要让消息和内心的不安影响了你的眼睛和操作。,积极
勤上年报盈利。。重大利好今天涨停,积极
一开到机构证券推荐就头痛，每推每跌。,消极
差不多12个点的超超短，也不错。,积极
破10闭着眼加仓,积极
买股票看周线支撑,中性
一早上腿都跑断了，上个厕所的功夫看看盘。,中性
被骗炮了,中性
最有可能的接替白酒的其实是医药，曾经的双雄，也是未来的双雄,积极
别人家煤电企业都准备介入氢能源生产了，希望公司跟上时代。,积极
温馨提示：这股没戏,消极
若能够8.20成交，我将在这垃圾股上盈利-15%。,消极
洗了一个星期了也差不多了,中性
宇宙大牛股，永跌板块总龙头滑稽资本,积极
这位置肉多，不在乎那么点震荡,积极
实在无奈！这吧除了几个疯子再没实际没根据没底线的乱叫，还有什么？大资金会听吗？,消极
我只在乎我有多少股数。,中性
这玩意能有机构，被抛弃了，什么都不是，垃圾，什么涨他都不涨，不论不累,消极
新能源基金如火如荼的认购中，基本上优质的新能源基金都重仓了宁德时代，亿纬锂能，赣锋锂业等质地优良的股票，想跌都难，行情刚开始,积极
终于砸到定增价格了，还得持续一个多月横盘，什么时候顺利定增才能上涨,中性
卖档这么少都没人买，休矣,消极
你们知道星期一的涨停价是多少吗？5.61、懂得人应该知道刚好超过上一波收盘的最高价！！,积极
方大不要太低调了，该涨的时候还是要涨。,积极
下周会有一波小反弹,积极
腾讯入股世纪华通，B站入主游族，抖音阿里华为小米不进军游戏板块我不信,中性
有色都在涨，你独特些么,消极
参考3月24日走势,中性
航天电子是目前我国导弹惯导最全的企业，拥有MEMS、光纤、激光等多种惯导系统的研制生产能力，并广泛配套于多种导弹型号。,积极
明天加速下跌，一鼓作气跌破6元，空军加油！融券融券融券！,消极
就想知道谁手里有这么多的货要出，,消极
田中精机业绩超预期，品类拓展成效已现2.57业绩，订单可能达2025年左右。,积极
如果能上13.4我就加仓,积极
拉高出货啊,消极
不随纸桨涨而涨，但随纸桨跌而跌，一个目的洗盘！,消极
买了，等封板,积极
要卖的赶快,消极
什么回事,中性
坐等10：40后翻红，立贴为证,积极
做空螺纹钢亏了十万，这都不涨？,消极
加仓机会,积极
7亿解禁股喊你来接盘,消极
稳住了大唐电信,积极
今晚有什么信息要发布了吗？,中性
超华科技，深南电路一样的业务,积极
不卖你就涨，一补仓你更跌,消极
还是那句话，涨后要稳一下，这样后面再涨才安全,积极
我，我！靠。。。该坚持早上的判断的，再拿十个点！我日，血亏，前脚卖，后脚就开始射了,积极
荣盛确实不是很强势，低估不代表上涨力量强，但是适合长期持有,积极
补口子精准预测,积极
章笠中，贵司到底啥时候回购?什么价格回购?妈个鸡,中性
明天有1千多万上市了，夲失亭,消极
主力还不拉升？还要等？,中性
意一下，也许出来的不光是年报季报……,积极
已经由3.30的支持位，变成3.35的支撑位,积极
加油，要勇于创新低，看好你ST哟！,积极
如有回调洗盘就大胆分批低吸，目前价位可分批建仓！今天盘中冼盘低买的赚了。,积极
啥玩意啊,中性
就凭上海电影四个字，就是公司连亏一百年也应该涨到一百块的，怎么可能跌呢，预期一万年后大赚特赚，坚定持股一万年,积极
各位都亏了多少点了。我26,消极
灰犀牛，不是牛,中性
动力煤价格大幅上涨，北方供暖需求严重缺煤，明天可以买点了,积极
坚持每天加仓！干到主力带我吃肉！我买它肯定希望他涨停！但是我不唱多，也不唱空,积极
开始冲刺阶段，心态要好,积极
6个涨停板啊，散户们是不是翻倍了啊,积极
小康不倒,积极
比信维都不如……瞎了眼啊！,消极
有色金属板块表现强势，宏创控股作为低价有色优质股，调整之后定会持续上攻，板块轮动很有希望再次突破4元。,积极
蓝科高新要耐心持有，卖了就买不回来。央企股、小盘、股价还在净资产值附近、业绩又是增长，现在在沪深两市哪里去这样的股票，珍惜呀！,积极
今天高开先清仓，底开加仓。,积极
一言不合就砸盘，完美已经把你甩在身后了,消极
随时暴跌,消极
针对央企国企的上市公司，市值管理也应该纳入到管理层的考核中，避免市值大幅度缩水贬值，杜绝。。。。。。。,消极
今天下午海南橡胶很大希望要发力了,积极
强势老鸭头,积极
我在等，等一个底，现在是资金充足，精力充足天时地利人和，一个都不能少,积极
真垃圾。这几次，次次看你爹游族脸色。完美也吊打你,消极
看看今年的投资十几个亿，远远没到收获期。,积极
海南龙头，盘后一大堆利好。,积极
主力吃不够筹码就自买自卖磨出筹码，现在到了比耐心的时候了,中性
三七这波直奔50，座稳住,积极
上市3年，募资14亿，现金分红3000万左右，未扩股。首发7.6元，扣出分红7.5。目前股价21.4，,积极
五矿稀土今年稀土矿资源注入是板上钉钉的事，股价创新高是迟早的事,积极
兄台看看中国黄金啊,中性
走了，等更低的时候在回来吧，庄家你慢慢弄吧，人气这么高，傲人挺厉害啊。,消极
晨钟暮鼓，都惊不醒联通梦中人，呜呼哀哉,消极
涨停板已出,积极
电建地产在困境中不断增资，就是赌中国的未来！,积极
安彩是否可以沾点第二大股东的光,积极
2.4万手的买入！万手哥闪亮登场，新集能源买买买！新集能源冲冲冲！,积极
金木水火土，金钼缺金不缺木,中性
这两天破前期低点22.78，年报披露之后再大跌，挖出黄金坑,中性
黄岛主天赋异禀格局之大非平常散户所能及！坚守价格投资之典范！佩服佩服！有朝一日我等散户必将马首是瞻！！！,中性
中金公司国家队都入驻了，说明东软产业的重要性，怕什么呀？,积极
打算上车没上车错过了大行情,积极
主力也太坏了，今天都不能拉上去既然不上去，那就下去吧，加点仓,消极
这个票的股性确实烂拉黑了,消极
这不是吃饱了撑的慌嘛？一手一手的卖有病啊！,消极
市场变化潜力股看公司未来布局方向,积极
我也换像了，天天顶涨停板,积极
只喊三遍，加仓，加仓，加仓,积极
这垃圾公司股票已有洋鬼子抄底，且企图搞定增利益输送，让它回归起点。,消极
加仓啊，周末季报预来了,积极
收盘7.99,中性
茅台，五粮液虽然好喝，但很多人喝酱香型的酒感觉胃不舒服,中性
同股本，同收益，已经涨到三位数,积极
买入，原油涨价,积极
又是万手单砸盘！证券不护盘反而砸盘！接下来没戏了,消极
每天压盘力量不小，有那么多票要卖么，等股价上来再交筹码不行？,积极
15.21加码，14.7在加,积极
，这只股票，买了四次，没有一次这个钱的，都是亏几万离场，不信邪了,中性
买在了最高点，无语了,消极
老大劲费了，咋就没怎么跌呢,消极
打卡签到，涨停,积极
宏汇置业关联买的大股东家族资产，两年一平米未卖、未结算，两年两次资产计提。明显利益输送。计提完后，是不是相关人士自占了蝶泉湾。,中性
什么情况？,中性
应该涨上去！此刻可以体现,积极
5.92元买入6万股,中性
这只垃圾应该,消极
同样是车，你就不能看一下中国铁牛。,中性
目标46，我带领团队来了，大家请放心！拿住就等待起飞，明日多方炮！你能,积极
重大利好！江海证券今年三大业务重启,积极
公司垃圾，在高的转送也没用，除权后亏损的还是股民。,消极
和隔夜的美国高科技股承压有关，港股科技互联网股上午大跌。三七估计也是港水抛盘导致,消极
请唱多的把股票拉升一个点就好，也只是1毛六，行吗,积极
这种票坚定持有，会有回报的,积极
据说生产线量产了,积极
下周一反包就牛了,积极
庄家大洗盘，欢迎坐稳,中性
这货有翻倍的潜力啊,积极
请问大东海A和罗牛山怎么样，都是最高点进的，下周还有机会涨吗？,积极
现在逃少输点,中性
三角形整理完毕,中性
等待机会建仓吧，低于非公开发行价了,积极
满仓重仓的干,积极
跌30%！！！,消极
跌的够多拉吧可以总攻拉吧,积极
洗的漂亮！,中性
股友0999rD1151,中性
50.78撑不住就得寻底了,消极
茅台多年的疯狂大涨，独自支撑大A屹立于世界不倒，对比狂跌的众多股票之惨淡，只有此股独自疯狂，堪称世界金融奇迹！,积极
拉高出货，哎…,消极
给老子沖鸭三千万封死涨停,积极
本盈利5个点，现在变亏5个点！哎！什么情况？,消极
唱多的都是股托，都是王8,消极
明天应该能到6.3左右,中性
今天测试一下压力，不坚定的浮筹洗掉，好戏在明天,积极
满仓干，谢谢给便宜筹码,积极
白药价值回归，机构抢筹，握紧筹码，不翻倍不出，,积极
美股金融地产已起动，周五建仓，下周涨起,积极
高管刘建国在不记成本的减持，总有小散意人家吓唬你，不要做白日梦了，在4元等，要有耐心，不要被托忽悠接盘了，长篇大论的都是托,中性
今天高开是铁定了，有可能涨停,积极
这是游戏龙头？明明连小弟都不如,中性
公司能不能站出来讲一下到底有什么利空？出了质量问题采取了哪些措施？公司与东方电缆的差距在哪里？有无赶超的措施？,消极
有色eft创新高了哈哈,积极
什么时候冲上6.5，还在净资产以下太离谱了,积极
盛和资源周五走势预测，维持之前周收益率，建议大家逢高减仓，合理控制仓位,积极
正宗的碳监测概念，目前还在洗盘，上方没有抛压，随时涨停！,积极
拭目以待！冲冲冲！,积极
差劲上涨吃力总有大盘压老夫已清仓，拜拜了,消极
真垃圾，每股收益暴跌，债转股调低换股价，营收暴跌，技术储备不足，5G和区块链还有量子通信远远没有跟上市场节奏,消极
虽然预告减亏，实际业绩还是亏损！别被糊弄了！,消极
明天出年报，尾盘会有一波拉升行情。,积极
目前只买大型龙头股，柳工我以前在这里吃过亏，了色股，别图便宜，发个帖，警示一下自己。,消极
有谁在82块站岗？,消极
我来告诉你下星期怎么走，低开走低，继续洗盘！下下周才是买入好时机！,积极
54的本，你随便跌,消极
看了一眼之前的研报目标价60,积极
像这样的长期股应多些耐心,积极
高抛低吸，任他庄家腥风血雨,积极
早就说了能跑的快跑。。没几个人信。这回都踏实了。。妥妥的套住了吧。给我个解套机会吧。兄弟。,消极
我感觉这就是一家旅馆年收入835万，还能上市奇葩,消极
交通银行开启暴涨模式,积极
个人观点，亿帆医药股价将持续震荡上行，至少这个月不会有较大级别的回调。持有34天，浮盈25%。继续持股。,积极
从顺丰暴雷可以看出，只有高壁垒行业才能保证长期稳定增长，喝酒吃药继续,积极
今天脏粥居然没跌，不可思议,中性
这个位置打死我也不买,积极
一字板没赶上，今天坐上车了，出发！,积极
美股三大指数悉数转涨特斯拉股价刷新历史新高,积极
我看好你是一个干净的壳资源,积极
老铁，给二哈送波火箭,积极
今天券商板块终于发力了，前几天买了一点证券ETF515010长的不错啊，大家要一起不？,积极
TCL也要定增了,积极
那个天天喊8元的小朋友不见了？,中性
买一次赔一次！彻底删除～nmbz！,消极
当成交量缩的不能在少的时候就是焦化彻底爆发之时！,中性
光威老先生跳出来找你们两个孙子,中性
早就说过了，没割肉的还在吗,中性
纷纷割肉，有必要吗？请散户停止交易，不割肉不买入。,中性
技术上看如果今天涨停站上2.3就是启动了！如果不涨出的概率大！散户估计不大敢买ST保持观望,消极
除去对倒的，今天成交量估计0.1%都不到！,中性
广西梧州国资委入股，实控人注册资金30亿，10块2购买股份成实控人，仅10亿的流通市值会跌到哪里去？,积极
17亿的土豪车门已经焊死放弃上车幻想大家散了吧,消极
其实吧我觉得你今天表现可以了，对比家家悦，我发现你比较良心,积极
002176*ST江特购买四川天齐锂业股权48.36%成为二股东,中性
空中加油完成,积极
能封住下周大肉，封不住就是damian,积极
害，最后一秒没补到,积极
业绩预增，特斯拉加汽车电子芯片，早晚大涨！,积极
都懒得看了，加载出来还不够流量钱,中性
此时不买更待何时！,积极
准备建仓吧兄弟姐妹们，到18元算打新中股，到10块加杠杆，,积极
前天留下的2成仓，以及昨天回补的刚才全部出了，感觉今天很悬,消极
又走这邪门的分时k图，阴险狡诈没格局,消极
群里有没有盖世英雄，给上市公司打个电话，问问有没有一季度业绩预告？,中性
长江电力:大盘“压舱石”之一。期待历史新高的水平。,积极
大东海：我先涨停，你们随意。干！,积极
今天利好兑现日，虽然没涨，磨两天向上了再补,积极
北斗真牛！影响力这么大！我买10000玩玩，看看众泰,积极
为什么大家不能拿一年再看呢？,中性
长园，雄起来啊，雄起来啊，雄起来啊，庄家是男的下午拉起来。。。。。。,积极
明天一字板，最正宗的碳中和概念,积极
今天能不能顺势涨停,积极
散了吧，这种股票唯一能做的就是退市，重组借壳都是害人。没有题材，没有业绩，投资夕阳产业靠卖家产过日子，能好到哪里去？,消极
小涨小跌都不是啥问题，看好了就拿稳，就这样,积极
这波洗的好丫把我也洗出来了,消极
再涨7%市值突破二千亿,积极
被张老三的回调大论忽悠下车的好同志是不是拍起了大腿？就众泰这种股你跟我说什么k线，我都当是个笑话,积极
拿着别动,中性
这是什么意思，有没有人能解释一下，本人新手,中性
不突破1.61都是白扯。,消极
主力就不割，有种别回来,积极
仁东控股，不破10元不关注，破10元后急速下杀两三天企稳就可以轻仓分批介入了。目标点位10-20个点。,积极
星云手机数码锂电池组保护板测试系统，一站式高精度快速测试解决方案！,中性
祝越秀早日突破100元，老子不玩了,中性
预测涨停板——岳阳林纸热点，碳中和，趋势关键位，出现攻击圈，立即跟进。,积极
不服来战，狗托，你说必到18以下,消极
看看成交量，散户朋友们终于明白多托忽悠散户接盘的本质，管住手，股价才企稳,中性
今天有被洗出去的吗？,中性
为什么这么强,积极
真贱米业,消极
蓝鲸财经这个媒体最信不过的媒体,中性
一地鸡毛,消极
干的漂亮。借利好出货。,消极
又是上班就下班的一天,中性
250sb打脸的又出来冒皮皮了,中性
21日解禁，流通股翻倍,积极
最近买疫苗防护概念是不错选择大盘必调整,积极
今天十点起飞,积极
该起航了,积极
基金砸盘,消极
今天必须涨3个点以上，不涨我提头来见，大家子弹准备好了吗，各项指标已开始反攻，今天见证吧，我只要点赞，谢谢大家，看着吧，哈拉少,积极
注射疫苗了，疫情肯定会控制起来的，最后一波打压了！,积极
这家伙跟核电，别的不跟,中性
稳住，家家悦下午开启回购模式,积极
抢筹，为一季报做准备,积极
看中我的股了,积极
永鼎光缆，今天少了3.50不卖。,积极
外资不断进入，从市场来看，对华测检测还是认可的，破新高是必然趋势,积极
今天晚上公布分红方案,中性
